alias,tech,experiment,run
mada_1-14,illumina,ERX8573816,ERR9030406
mada_107,illumina,ERX8573821,ERR9030411
mada_2-34,illumina,ERX8573846,ERR9030436
mada_134,illumina,ERX8573762,ERR9030352
mada_127,illumina,ERX8573782,ERR9030372
R28703,nanopore,ERX8573753,ERR9030343
17_616156,nanopore,ERX8573827,ERR9030417
mada_125,pacbio,ERX8573819,ERR9030409
R23571,nanopore,ERX8573875,ERR9030465
mada_1-3,illumina,ERX8573713,ERR9030303
R18043,illumina,ERX8573798,ERR9030388
R18043,nanopore,ERX8573804,ERR9030394
mada_154,nanopore,ERX8573952,ERR9030542
mada_104,illumina,ERX8573783,ERR9030373
R23146,nanopore,ERX8573872,ERR9030462
mada_109,nanopore,ERX8573779,ERR9030369
mada_140,illumina,ERX8573704,ERR9030294
mada_130,nanopore,ERX8573918,ERR9030508
mada_1-17,nanopore,ERX8573724,ERR9030314
mada_1-17,illumina,ERX8573863,ERR9030453
18_0622158,nanopore,ERX8573689,ERR9030279
mada_1-30,illumina,ERX8573883,ERR9030473
mada_116,illumina,ERX8573692,ERR9030282
mada_125,nanopore,ERX8573742,ERR9030332
mada_106,nanopore,ERX8573721,ERR9030311
mada_107,nanopore,ERX8573665,ERR9030255
mada_1-2,nanopore,ERX8573754,ERR9030344
R28182,illumina,ERX8573674,ERR9030264
R37765,illumina,ERX8573728,ERR9030318
mada_128,illumina,ERX8573914,ERR9030504
mada_129,illumina,ERX8573699,ERR9030289
mada_1-44,pacbio,ERX8573915,ERR9030505
mada_1-44,illumina,ERX8573929,ERR9030519
mada_130,pacbio,ERX8573745,ERR9030335
mada_1-22,nanopore,ERX8573826,ERR9030416
R23146,illumina,ERX8573871,ERR9030461
R28980,nanopore,ERX8573687,ERR9030277
mada_1-12,illumina,ERX8573698,ERR9030288
mada_1-16,nanopore,ERX8573932,ERR9030522
mada_118,illumina,ERX8573861,ERR9030451
mada_1-33,nanopore,ERX8573931,ERR9030521
mada_102,illumina,ERX8573711,ERR9030301
mada_1-40,illumina,ERX8573794,ERR9030384
mada_112,nanopore,ERX8573792,ERR9030382
mada_133,illumina,ERX8573906,ERR9030496
mada_1-21,illumina,ERX8573890,ERR9030480
mada_139,nanopore,ERX8573743,ERR9030333
mada_1-46,illumina,ERX8573939,ERR9030529
mada_129,nanopore,ERX8573829,ERR9030419
mada_1-21,nanopore,ERX8573688,ERR9030278
R25048,nanopore,ERX8573841,ERR9030431
R24120,nanopore,ERX8573658,ERR9030248
mada_2-1,illumina,ERX8573748,ERR9030338
R21363,nanopore,ERX8573770,ERR9030360
18_620606,nanopore,ERX8573927,ERR9030517
18_0622057,nanopore,ERX8573814,ERR9030404
mada_1-46,nanopore,ERX8573884,ERR9030474
mada_1-20,nanopore,ERX8573740,ERR9030330
18_0622224,nanopore,ERX8573676,ERR9030266
mada_1-38,nanopore,ERX8573933,ERR9030523
mada_1-39,illumina,ERX8573705,ERR9030295
mada_117,illumina,ERX8573707,ERR9030297
mada_1-25,illumina,ERX8573761,ERR9030351
mada_150,nanopore,ERX8573922,ERR9030512
mada_1-8,nanopore,ERX8573842,ERR9030432
R30078,illumina,ERX8573727,ERR9030317
mada_124,illumina,ERX8573809,ERR9030399
mada_115,illumina,ERX8573679,ERR9030269
mada_120,illumina,ERX8573855,ERR9030445
mada_105,nanopore,ERX8573755,ERR9030345
mada_139,illumina,ERX8573757,ERR9030347
mada_1-20,illumina,ERX8573894,ERR9030484
R30234,nanopore,ERX8573746,ERR9030336
R28581,nanopore,ERX8573731,ERR9030321
R26778,nanopore,ERX8573825,ERR9030415
mada_1-11,nanopore,ERX8573839,ERR9030429
mada_1-30,nanopore,ERX8573810,ERR9030400
R20260,nanopore,ERX8573693,ERR9030283
mada_1-14,nanopore,ERX8573775,ERR9030365
mada_1-19,nanopore,ERX8573888,ERR9030478
mada_102,nanopore,ERX8573925,ERR9030515
mada_1-22,illumina,ERX8573678,ERR9030268
mada_1-39,nanopore,ERX8573772,ERR9030362
R15311,illumina,ERX8573857,ERR9030447
mada_110,illumina,ERX8573904,ERR9030494
mada_144,nanopore,ERX8573844,ERR9030434
18_0622455,nanopore,ERX8573928,ERR9030518
R29598,nanopore,ERX8573930,ERR9030520
mada_141,illumina,ERX8573717,ERR9030307
mada_1-18,nanopore,ERX8573942,ERR9030532
mada_115,nanopore,ERX8573862,ERR9030452
R22601,nanopore,ERX8573690,ERR9030280
mada_1-43,nanopore,ERX8573923,ERR9030513
mada_126,nanopore,ERX8573858,ERR9030448
mada_2-50,illumina,ERX8573683,ERR9030273
R26791,nanopore,ERX8573824,ERR9030414
mada_1-13,nanopore,ERX8573813,ERR9030403
R28182,nanopore,ERX8573694,ERR9030284
mada_103,illumina,ERX8573897,ERR9030487
mada_2-53,illumina,ERX8573823,ERR9030413
R36431,illumina,ERX8573803,ERR9030393
R25048,illumina,ERX8573817,ERR9030407
mada_1-53,nanopore,ERX8573921,ERR9030511
R26778,illumina,ERX8573934,ERR9030524
18_0622300,nanopore,ERX8573780,ERR9030370
mada_141,nanopore,ERX8573891,ERR9030481
mada_1-41,nanopore,ERX8573837,ERR9030427
mada_2-42,illumina,ERX8573708,ERR9030298
17_616026,illumina,ERX8573682,ERR9030272
mada_137,nanopore,ERX8573831,ERR9030421
R30234,illumina,ERX8573936,ERR9030526
mada_135,nanopore,ERX8573662,ERR9030252
mada_1-6,nanopore,ERX8573720,ERR9030310
mada_102,pacbio,ERX8573726,ERR9030316
mada_123,illumina,ERX8573945,ERR9030535
mada_1-41,illumina,ERX8573715,ERR9030305
mada_1-8,illumina,ERX8573920,ERR9030510
mada_144,illumina,ERX8573800,ERR9030390
mada_142,illumina,ERX8573805,ERR9030395
R27252,nanopore,ERX8573836,ERR9030426
mada_1-15,illumina,ERX8573673,ERR9030263
mada_104,nanopore,ERX8573808,ERR9030398
mada_118,nanopore,ERX8573664,ERR9030254
R27937,nanopore,ERX8573899,ERR9030489
18_0622312,nanopore,ERX8573907,ERR9030497
mada_1-44,nanopore,ERX8573714,ERR9030304
mada_116,nanopore,ERX8573750,ERR9030340
mada_1-1,illumina,ERX8573773,ERR9030363
mada_2-1,nanopore,ERX8573709,ERR9030299
mada_2-42,nanopore,ERX8573789,ERR9030379
mada_104,pacbio,ERX8573785,ERR9030375
mada_1-33,illumina,ERX8573905,ERR9030495
mada_117,nanopore,ERX8573830,ERR9030420
mada_1-28,nanopore,ERX8573736,ERR9030326
mada_109,illumina,ERX8573747,ERR9030337
mada_105,illumina,ERX8573856,ERR9030446
R21408,nanopore,ERX8573850,ERR9030440
R28012,nanopore,ERX8573908,ERR9030498
18_0622363,nanopore,ERX8573903,ERR9030493
mada_136,nanopore,ERX8573848,ERR9030438
R20983,nanopore,ERX8573799,ERR9030389
mada_1-6,illumina,ERX8573790,ERR9030380
R15311,nanopore,ERX8573881,ERR9030471
mada_1-5,illumina,ERX8573900,ERR9030490
mada_132,pacbio,ERX8573913,ERR9030503
mada_124,nanopore,ERX8573950,ERR9030540
mada_103,nanopore,ERX8573887,ERR9030477
R18040,illumina,ERX8573769,ERR9030359
mada_2-31,illumina,ERX8573820,ERR9030410
mada_1-54,nanopore,ERX8573777,ERR9030367
R27657,nanopore,ERX8573764,ERR9030354
mada_1-16,illumina,ERX8573910,ERR9030500
mada_1-32,illumina,ERX8573684,ERR9030274
mada_123,nanopore,ERX8573659,ERR9030249
mada_131,nanopore,ERX8573729,ERR9030319
mada_113,illumina,ERX8573853,ERR9030443
R24100,illumina,ERX8573815,ERR9030405
R32929,nanopore,ERX8573663,ERR9030253
mada_136,illumina,ERX8573795,ERR9030385
mada_126,illumina,ERX8573806,ERR9030396
mada_1-18,illumina,ERX8573812,ERR9030402
18_0622456,nanopore,ERX8573889,ERR9030479
mada_2-25,nanopore,ERX8573735,ERR9030325
mada_150,illumina,ERX8573941,ERR9030531
18_0622446,nanopore,ERX8573833,ERR9030423
mada_1-48,nanopore,ERX8573840,ERR9030430
mada_127,nanopore,ERX8573838,ERR9030428
mada_151,nanopore,ERX8573751,ERR9030341
mada_154,illumina,ERX8573874,ERR9030464
mada_1-32,nanopore,ERX8573807,ERR9030397
mada_1-5,nanopore,ERX8573847,ERR9030437
mada_128,nanopore,ERX8573917,ERR9030507
R32929,illumina,ERX8573741,ERR9030331
mada_134,nanopore,ERX8573774,ERR9030364
R30396,nanopore,ERX8573818,ERR9030408
R36431,nanopore,ERX8573737,ERR9030327
mada_1-43,illumina,ERX8573766,ERR9030356
R29816,nanopore,ERX8573756,ERR9030346
mada_131,illumina,ERX8573703,ERR9030293
R31095,nanopore,ERX8573898,ERR9030488
mada_116,pacbio,ERX8573791,ERR9030381
mada_151,illumina,ERX8573868,ERR9030458
mada_106,illumina,ERX8573710,ERR9030300
mada_143,illumina,ERX8573902,ERR9030492
mada_111,illumina,ERX8573767,ERR9030357
mada_2-53,nanopore,ERX8573876,ERR9030466
mada_132,illumina,ERX8573949,ERR9030539
mada_121,nanopore,ERX8573843,ERR9030433
mada_140,nanopore,ERX8573725,ERR9030315
mada_137,illumina,ERX8573865,ERR9030455
