guid,project,sample,experiment,run
0328f909-6ca5-46e1-8a3b-e7a04c24602b,PRJEB41201,ERS5304422,ERX4684252,ERR4814410
065c0491-98a3-4c43-ba08-414a14aab620,PRJEB41201,ERS5304512,ERX4684342,ERR4814500
0f02c421-f801-4770-bf6e-235220277929,PRJEB41201,ERS5304750,ERX4684580,ERR4814738
11986beb-afb2-439a-808d-83ed44017253,PRJEB41201,ERS5304823,ERX4684653,ERR4814811
15bb7215-9f35-450c-81d9-c9b34136272b,PRJEB41201,ERS5304927,ERX4684757,ERR4814915
1d284ff1-59e8-4012-95c8-33dcc39f2e3b,PRJEB41201,ERS5305155,ERX4684985,ERR4815143
2590099b-a186-46f4-a901-437e57e046f1,PRJEB41201,ERS5305424,ERX4685254,ERR4815412
2af6a8bd-67b4-48f5-9e39-5e416d4902e4,PRJEB41201,ERS5305601,ERX4685431,ERR4815589
3b6bd0d5-3d4d-498f-b76b-84247ccb770d,PRJEB41201,ERS5306137,ERX4685967,ERR4816125
44e457e6-6fa5-4f01-ae9b-23808061d601,PRJEB41201,ERS5306419,ERX4686249,ERR4816407
44f6d27e-f063-4b7f-874a-fc5e80a618e6,PRJEB41201,ERS5306421,ERX4686251,ERR4816409
58266be1-5c55-43b1-a2ad-6a856052f098,PRJEB41201,ERS5307012,ERX4686842,ERR4817000
5a59bf2c-990e-43ca-89d0-c269f466d4b0,PRJEB41201,ERS5307077,ERX4686907,ERR4817065
6ecec5e3-d286-4356-9daf-e6122f14dec6,PRJEB41201,ERS5307697,ERX4687527,ERR4817685
73086cb9-8f55-493a-9aa4-60998ccd7a75,PRJEB41201,ERS5307833,ERX4687663,ERR4817821
737fc339-4836-4ac6-a5c3-f5724f223a01,PRJEB41201,ERS5307848,ERX4687678,ERR4817836
743f68ed-b14c-453a-9f84-fb5c13a8a2d8,PRJEB41201,ERS5307881,ERX4687711,ERR4817869
76d4ac69-54ba-40f1-b770-fb867a9bb2d8,PRJEB41201,ERS5307979,ERX4687809,ERR4817967
82843d0f-b9ad-4dd9-8524-81c23caeb49d,PRJEB41201,ERS5308322,ERX4688152,ERR4818310
83e7e915-f756-4e20-8b91-b64cc78ec0d2,PRJEB41201,ERS5308365,ERX4688195,ERR4818353
af9cf4d9-f431-49fc-83d7-e68c14a987a6,PRJEB41201,ERS5309724,ERX4689554,ERR4819712
b4233d58-31db-4853-84d9-4e94e4ed6f7c,PRJEB41201,ERS5309867,ERX4689697,ERR4819855
bc7dacdd-76d2-4daa-971a-976334988083,PRJEB41201,ERS5310129,ERX4689959,ERR4820117
bd725611-42b6-46d3-9cfa-0dfe487342cd,PRJEB41201,ERS5310164,ERX4689994,ERR4820152
cbfdc25f-d9dd-4e81-a4d7-ebaff5e550b1,PRJEB41201,ERS5310622,ERX4690452,ERR4820610
d763a208-6bfa-4e27-b498-0c40683fd896,PRJEB41201,ERS5310970,ERX4690800,ERR4820958
dd468234-8e14-4210-80b7-78a6efdb21fd,PRJEB41201,ERS5311177,ERX4691007,ERR4821165
dfd05bff-7e7c-491f-9c60-cb917ceacc52,PRJEB41201,ERS5311253,ERX4691083,ERR4821241
e230a60d-a2c1-44e2-a32e-19e1eb9fe6e1,PRJEB41201,ERS5311328,ERX4691158,ERR4821316
eab1991f-fff5-47ef-add1-32d51c6a26c4,PRJEB41201,ERS5311589,ERX4691419,ERR4821577
ffed3a4c-cade-4e51-a5e0-e62c5c504a14,PRJEB41201,ERS5312290,ERX4692120,ERR4822278
3149341b-b72c-423d-9d5c-2077444f0107,,,,
5b2eadf1-4c3a-4bdf-829e-593962e2c908,,,,
7ab6b468-3beb-4e61-bacf-c08b2af83172,,,,
eeb85dfc-a0dc-459b-ab39-bea587651e38,,,,
