run,sample,barcode
birmingham-mgit-run1,18_0622296,BC06
birmingham-mgit-run1,18_0622132,BC07
birmingham-mgit-run1,18_0622394,BC08
birmingham-mgit-run1,18_0622425,BC09
birmingham-mgit-run1,18_0622314,BC10
birmingham-mgit-run1,18_0622371,BC11
birmingham-mgit-run2,18_0622422,BC01
birmingham-mgit-run2,18_0622439,BC02
birmingham-mgit-run2,18_0622395,BC03
birmingham-mgit-run2,18_0622383,BC04
birmingham-mgit-run3,18_0622441,BC01
birmingham-mgit-run3,18_0622312,BC02
birmingham-mgit-run3,18_0622363,BC03
birmingham-mgit-run3,18_0622456,BC04
birmingham-mgit-run3,18_0621852,BC05
birmingham-mgit-run3,18_0622365,BC06
birmingham-mgit-run4,18_0622217,BC07
birmingham-mgit-run4,18_0622431,BC08
birmingham-mgit-run4,18_0622429,BC09
birmingham-mgit-run4,18_0622465,BC10
birmingham-mgit-run4,18_0621851,BC11
birmingham-mgit-run4,18_0622291,BC12
birmingham-mgit-run5,18_0622057,BC01
birmingham-mgit-run5,18_0622446,BC02
birmingham-mgit-run5,18_0622317,BC03
birmingham-mgit-run5,18_0622212,BC05
birmingham-mgit-run6,18_0622455,BC01
birmingham-mgit-run6,18_0622267,BC02
birmingham-mgit-run6,18_0622293,BC03
birmingham-mgit-run6,18_0622300,BC04
birmingham-mgit-run6,18_0622302,BC05
birmingham-mgit-run7,18_0622034,BC06
birmingham-mgit-run7,18_0622224,BC07
birmingham-mgit-run7,18_0622158,BC08
birmingham-mgit-run7,18_0622434,BC09
birmingham-mgit-run7,18_0621850,BC10
mgit_phe_1,18_602275,BC01
mgit_phe_1,18_620606,BC02
mgit_phe_2,18_620650,BC03
mgit_phe_2,18_620602,BC05
mgit_phe_2,18_620949,BC08
tb_birmingham_4,17_616026,BC07
tb_birmingham_4,17_616156,BC08
tb_birmingham_4,17_616166,BC09
tb_birmingham_4,17_619748,BC10
tb_birmingham_4,17_619267,BC11
tb_birmingham_4,17_609069_c2,BC12
