run,sample,guuid,barcode
tb_low_input,17_616007,d3cf8149-526d-4a09-bfd0-d4a57fbc35c1,BC01
tb_low_input,17_613843,489e21d0-4005-442d-9393-9b99dd3e0d8c,BC02
tb_low_input,17_616229,43580f49-6b3f-4937-b007-d24264eb76e5,BC03
tb_low_input,17_616205,a2179aee-f20b-486b-94ed-be090a39076a,BC04
tb_low_input,17_616182,51e59814-626f-4cfa-8a89-6ca3b22650f7,BC05
tb_birmingham_4,17_616026,ac132a9b-75ea-4ed5-9d16-a98754af9930,BC07
tb_birmingham_4,17_616156,5a59bf2c-990e-43ca-89d0-c269f466d4b0,BC08
tb_birmingham_4,17_616166,44f6d27e-f063-4b7f-874a-fc5e80a618e6,BC09
tb_birmingham_4,17_619748,eeb85dfc-a0dc-459b-ab39-bea587651e38,BC10
tb_birmingham_4,17_619267,3149341b-b72c-423d-9d5c-2077444f0107,BC11
tb_birmingham_4,17_609069_c2,7ab6b468-3beb-4e61-bacf-c08b2af83172,BC12
mgit_phe_1,18_620606,eab1991f-fff5-47ef-add1-32d51c6a26c4,BC02
mgit_phe_2,18_62065,76d4ac69-54ba-40f1-b770-fb867a9bb2d8,BC03
mgit_phe_2,18_620602,bd725611-42b6-46d3-9cfa-0dfe487342cd,BC05
mgit_phe_2,18_620949,5b2eadf1-4c3a-4bdf-829e-593962e2c908,BC08
birmingham-mgit-run1,18_0622296,f766e0fc-a8ef-4890-a859-7d86f3254a8e,BC06
birmingham-mgit-run1,18_0622132,1cbe37fa-5909-4a84-bfb6-faa9be68e7e9,BC07
birmingham-mgit-run1,18_0622394,761120aa-60fd-447c-8153-3d1d86b6ab48,BC08
birmingham-mgit-run1,18_0622425,cc14d0df-d126-4e88-825c-9673e2d8b8f1,BC09
birmingham-mgit-run1,18_0622314,a95c2a0a-9931-42b1-b34f-a61005367116,BC10
birmingham-mgit-run1,18_0622371,d801465e-51fd-49f8-a1d8-dbfe6d895da9,BC11
birmingham-mgit-run2,18_0622422,9ad6bceb-7c6d-4a11-bc2b-a245fe84a257,BC01
birmingham-mgit-run2,18_0622439,b3feb3a7-e581-4a9f-90ad-e2773b1195bb,BC02
birmingham-mgit-run2,18_0622395,2105afc6-4621-47e3-ba55-6a182cd13ccc,BC03
birmingham-mgit-run2,18_0622383,6c1839d3-65c7-4703-93e5-2113aa55cc6a,BC04
birmingham-mgit-run3,18_0622441,6ecec5e3-d286-4356-9daf-e6122f14dec6,BC01
birmingham-mgit-run3,18_0622312,73086cb9-8f55-493a-9aa4-60998ccd7a75,BC02
birmingham-mgit-run3,18_0622363,11986beb-afb2-439a-808d-83ed44017253,BC03
birmingham-mgit-run3,18_0622456,82843d0f-b9ad-4dd9-8524-81c23caeb49d,BC04
birmingham-mgit-run3,18_0621852,ffed3a4c-cade-4e51-a5e0-e62c5c504a14,BC05
birmingham-mgit-run3,18_0622365,dd468234-8e14-4210-80b7-78a6efdb21fd,BC06
birmingham-mgit-run4,18_0622217,0f02c421-f801-4770-bf6e-235220277929,BC07
birmingham-mgit-run4,18_0622431,d763a208-6bfa-4e27-b498-0c40683fd896,BC08
birmingham-mgit-run4,18_0622429,065c0491-98a3-4c43-ba08-414a14aab620,BC09
birmingham-mgit-run4,18_0622465,0328f909-6ca5-46e1-8a3b-e7a04c24602b,BC10
birmingham-mgit-run4,18_0621851,44e457e6-6fa5-4f01-ae9b-23808061d601,BC11
birmingham-mgit-run4,18_0622291,bc7dacdd-76d2-4daa-971a-976334988083,BC12
birmingham-mgit-run5,18_0622057,3b6bd0d5-3d4d-498f-b76b-84247ccb770d,BC01
birmingham-mgit-run5,18_0622446,1d284ff1-59e8-4012-95c8-33dcc39f2e3b,BC02
birmingham-mgit-run5,18_0622317,af9cf4d9-f431-49fc-83d7-e68c14a987a6,BC03
birmingham-mgit-run5,18_0622212,b4233d58-31db-4853-84d9-4e94e4ed6f7c,BC05
birmingham-mgit-run6,18_0622455,83e7e915-f756-4e20-8b91-b64cc78ec0d2,BC01
birmingham-mgit-run6,18_0622267,15bb7215-9f35-450c-81d9-c9b34136272b,BC02
birmingham-mgit-run6,18_0622293,dfd05bff-7e7c-491f-9c60-cb917ceacc52,BC03
birmingham-mgit-run6,18_06223,2590099b-a186-46f4-a901-437e57e046f1,BC04
birmingham-mgit-run6,18_0622302,58266be1-5c55-43b1-a2ad-6a856052f098,BC05
birmingham-mgit-run7,18_0622034,743f68ed-b14c-453a-9f84-fb5c13a8a2d8,BC06
birmingham-mgit-run7,18_0622224,737fc339-4836-4ac6-a5c3-f5724f223a01,BC07
birmingham-mgit-run7,18_0622158,2af6a8bd-67b4-48f5-9e39-5e416d4902e4,BC08
birmingham-mgit-run7,18_0622434,e230a60d-a2c1-44e2-a32e-19e1eb9fe6e1,BC09
birmingham-mgit-run7,18_062185,cbfdc25f-d9dd-4e81-a4d7-ebaff5e550b1,BC10
