#guid,samplename,fastq1,fastq1_md5,fastq2,fastq2_md5
0328f909-6ca5-46e1-8a3b-e7a04c24602b,site.07.iso.1.subject.0328f909-6ca5-46e1-8a3b-e7a04c24602b.lab_id.0328f909-6ca5-46e1-8a3b-e7a04c24602b.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/72/30/17230/Reads/reads.original.1.1.fq.gz,95bfa1797dbe8a800f09808095b60411,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/72/30/17230/Reads/reads.original.1.2.fq.gz,fda84911d080ee746be824bdbfb4ea48
065c0491-98a3-4c43-ba08-414a14aab620,site.07.iso.1.subject.065c0491-98a3-4c43-ba08-414a14aab620.lab_id.065c0491-98a3-4c43-ba08-414a14aab620.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/73/20/17320/Reads/reads.original.1.1.fq.gz,f8dd5785b7a3595955a50797a9c6634e,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/73/20/17320/Reads/reads.original.1.2.fq.gz,1cd51549480c6efca814cffb509ff227
0f02c421-f801-4770-bf6e-235220277929,site.07.iso.1.subject.0f02c421-f801-4770-bf6e-235220277929.lab_id.0f02c421-f801-4770-bf6e-235220277929.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/75/58/17558/Reads/reads.original.1.1.fq.gz,28fae1c1c5d19fa2dd61b4922dd373b2,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/75/58/17558/Reads/reads.original.1.2.fq.gz,c74e6c67ad668f712db7fa554ad486fa
11986beb-afb2-439a-808d-83ed44017253,site.07.iso.1.subject.11986beb-afb2-439a-808d-83ed44017253.lab_id.11986beb-afb2-439a-808d-83ed44017253.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/76/31/17631/Reads/reads.original.1.1.fq.gz,44f74facc9abf68038f53b4074cbb628,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/76/31/17631/Reads/reads.original.1.2.fq.gz,b6df018f5c4d76aec8ae6cb79312b33e
15bb7215-9f35-450c-81d9-c9b34136272b,site.07.iso.1.subject.15bb7215-9f35-450c-81d9-c9b34136272b.lab_id.15bb7215-9f35-450c-81d9-c9b34136272b.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/77/35/17735/Reads/reads.original.1.1.fq.gz,b9aedd31ed39fa3cb74446efb034f336,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/77/35/17735/Reads/reads.original.1.2.fq.gz,e611a340248e28f1e55ab3d51eb900d7
1cbe37fa-5909-4a84-bfb6-faa9be68e7e9,site.07.iso.1.subject.1cbe37fa-5909-4a84-bfb6-faa9be68e7e9.lab_id.1cbe37fa-5909-4a84-bfb6-faa9be68e7e9.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/79/48/17948/Reads/reads.original.1.1.fq.gz,057bccfe78cd1a7b88a4764bc41d222a,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/79/48/17948/Reads/reads.original.1.2.fq.gz,8ca60281fa6f8700c5aad2681acee5d8
1d284ff1-59e8-4012-95c8-33dcc39f2e3b,site.07.iso.1.subject.1d284ff1-59e8-4012-95c8-33dcc39f2e3b.lab_id.1d284ff1-59e8-4012-95c8-33dcc39f2e3b.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/79/63/17963/Reads/reads.original.1.1.fq.gz,58bb796bcd3abbee1ce9f7e5af403cfe,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/79/63/17963/Reads/reads.original.1.2.fq.gz,01d2cd27723b16d521af41ab671df01d
2105afc6-4621-47e3-ba55-6a182cd13ccc,site.07.iso.1.subject.2105afc6-4621-47e3-ba55-6a182cd13ccc.lab_id.2105afc6-4621-47e3-ba55-6a182cd13ccc.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/80/91/18091/Reads/reads.original.1.1.fq.gz,2f71dd0afc533b0087958d68d129894b,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/80/91/18091/Reads/reads.original.1.2.fq.gz,36ee2eb4b72d376be250c5c284db8e46
2590099b-a186-46f4-a901-437e57e046f1,site.07.iso.1.subject.2590099b-a186-46f4-a901-437e57e046f1.lab_id.2590099b-a186-46f4-a901-437e57e046f1.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/82/32/18232/Reads/reads.original.1.1.fq.gz,160b58ab5240af47780762db742d1128,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/82/32/18232/Reads/reads.original.1.2.fq.gz,54190593786b0726104b3a5e5d0af4fe
2af6a8bd-67b4-48f5-9e39-5e416d4902e4,site.07.iso.1.subject.2af6a8bd-67b4-48f5-9e39-5e416d4902e4.lab_id.2af6a8bd-67b4-48f5-9e39-5e416d4902e4.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/84/09/18409/Reads/reads.original.1.1.fq.gz,a2eb114c6675e38c5bd1087649b3650b,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/84/09/18409/Reads/reads.original.1.2.fq.gz,e583293fde650dafcee7d7af7f5a284f
3b6bd0d5-3d4d-498f-b76b-84247ccb770d,site.07.iso.1.subject.3b6bd0d5-3d4d-498f-b76b-84247ccb770d.lab_id.3b6bd0d5-3d4d-498f-b76b-84247ccb770d.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/89/45/18945/Reads/reads.original.1.1.fq.gz,fcc11e9a01f06ce55e5fceefe8629813,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/89/45/18945/Reads/reads.original.1.2.fq.gz,0e67c08bfa6ee969ebc50f275acd0918
44f6d27e-f063-4b7f-874a-fc5e80a618e6,site.07.iso.1.subject.44f6d27e-f063-4b7f-874a-fc5e80a618e6.lab_id.44f6d27e-f063-4b7f-874a-fc5e80a618e6.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/92/29/19229/Reads/reads.original.1.1.fq.gz,514840381fe8a16bdc00a82f887cb422,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/92/29/19229/Reads/reads.original.1.2.fq.gz,a658ff5a810ce06432ed9b654f884d06
44e457e6-6fa5-4f01-ae9b-23808061d601,site.07.iso.1.subject.44e457e6-6fa5-4f01-ae9b-23808061d601.lab_id.44e457e6-6fa5-4f01-ae9b-23808061d601.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/92/27/19227/Reads/reads.original.1.1.fq.gz,fef38b44090587708198865842b2bd16,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/92/27/19227/Reads/reads.original.1.2.fq.gz,f04a1723f74fccb88f6c43ec7b4c21e1
